player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,earned_run_average,games,complete_games,shutouts,wins,losses,saves,holds,winning_percentage,batters_faced,innings_pitched_display,hits_allowed,home_runs_allowed,walks_allowed,hit_batters,strikeouts,runs_allowed,earned_runs,as_of_date,is_partial,age_was_corrected,height_cm,weight_kg,innings_pitched_outs
52043,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52043,벤자민,33,1993-07-26,P,L/L,188cm/95kg,미국 Kansas(대)-KT,22 KT 자유선발,2026,두산,2.71,14,0,0,4,7,0,0,0.364,332,79 2/3,78,3,21,1,75,28,24,2026-07-20,True,True,188,95,239
52060,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52060,박영현,23,2003-10-11,P,R/R,183cm/91kg,부천북초-부천중-유신고,22 KT 1차,2026,KT,2.68,36,0,0,6,0,18,0,1.0,172,40 1/3,32,4,20,0,41,12,12,2026-07-20,True,True,183,91,121
52149,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52149,조원태,23,2003-05-10,P,L/L,186cm/92kg,토성초(강동구리틀)-건대부중-선린인터넷고,22 LG 1차,2026,LG,9.0,1,0,0,0,0,0,0,,6,1,1,0,1,1,1,1,1,2026-07-20,True,True,186,92,3
52202,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52202,윤태호,23,2003-10-10,P,R/R,190cm/88kg,상인천초-동인천중-인천고,22 두산 2차 5라운드 49순위,2026,두산,1.74,12,0,0,1,0,1,1,1.0,44,10 1/3,8,0,6,0,9,2,2,2026-07-20,True,True,190,88,31
52204,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52204,이병헌,23,2003-06-04,P,L/L,183cm/95kg,역삼초-영동중-서울고,22 두산 1차,2026,두산,4.94,42,0,0,1,1,0,7,0.5,152,31,41,2,15,2,25,25,17,2026-07-20,True,True,183,95,93
52206,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52206,최지강,25,2001-07-23,P,L/R,180cm/88kg,광주서석초-광주동성중-광주동성고-강릉영동대,22 두산 육성선수,2026,두산,9.45,16,0,0,0,0,0,0,,70,13 1/3,21,0,7,3,13,17,14,2026-07-20,True,True,180,88,40
52395,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52395,윤석원,23,2003-07-04,P,L/L,185cm/81kg,부산대연초-개성중-부산고,22 키움 2차 4라운드 36순위,2026,키움,9.0,7,0,0,0,0,0,0,,31,7,10,1,2,0,5,7,7,2026-07-20,True,True,185,81,21
52530,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52530,이민석,23,2003-12-10,P,R/R,189cm/95kg,부산수영초-대천중-개성고,22 롯데 1차,2026,롯데,5.88,14,0,0,1,2,0,0,0.333,186,41 1/3,46,2,21,2,30,28,27,2026-07-20,True,True,189,95,124
52639,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52639,최지민,23,2003-09-10,P,L/L,185cm/100kg,강릉율곡초(강릉리틀)-경포중-강릉고,22 KIA 2차 1라운드 5순위,2026,KIA,6.1,35,0,0,0,0,0,2,,147,31,43,5,9,4,26,21,21,2026-07-20,True,True,185,100,93
52641,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52641,황동하,24,2002-07-30,P,R/R,183cm/96kg,진북초-전라중-인상고,22 KIA 2차 7라운드 65순위,2026,KIA,4.37,18,0,0,6,3,0,1,0.667,293,68,67,12,27,3,50,38,33,2026-07-20,True,True,183,96,204
52701,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52701,문동주,23,2003-12-23,P,R/R,188cm/97kg,광주화정초-무등중-진흥고,22 한화 1차,2026,한화,5.18,6,0,0,1,1,0,0,0.5,110,24 1/3,27,3,11,3,18,16,14,2026-07-20,True,True,188,97,73
52731,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52731,박준영,23,2003-03-02,P,R/R,190cm/103kg,청주우암초(청주시리틀)-세광중-세광고,22 한화 2차 1라운드 1순위,2026,한화,3.96,29,0,0,1,0,0,0,1.0,166,38 2/3,33,4,25,4,32,18,17,2026-07-20,True,True,190,103,116
52809,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52809,전영준,24,2002-04-16,P,R/R,190cm/100kg,부곡초-휘문중-대구고-SSG-상무,22 SSG 2차 9라운드 82순위,2026,SSG,7.42,33,0,0,1,2,1,0,0.333,143,30 1/3,29,7,21,4,36,27,25,2026-07-20,True,True,190,100,91
52844,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52844,김도현,23,2003-05-24,P,R/R,179cm/89kg,삼송초-연세중-백송고,22 SSG 2차 2라운드 12순위,2026,SSG,7.71,6,0,0,0,0,0,0,,37,7,7,1,10,0,5,6,6,2026-07-20,True,False,179,89,21
52868,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52868,이기순,23,2003-05-14,P,L/L,174cm/74kg,서흥초-인천신흥중-동산고-SSG-상무,22 SSG 2차 5라운드 42순위,2026,SSG,8.38,9,0,0,1,1,0,0,0.5,58,9 2/3,14,0,13,3,8,9,9,2026-07-20,True,True,174,74,29
52902,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52902,임지민,23,2003-10-11,P,R/R,185cm/82kg,가평목동초(가평리틀)-춘천중-강원고,22 NC 2차 5라운드 50순위,2026,NC,4.83,43,0,0,3,4,3,9,0.429,176,41,34,7,20,2,50,24,22,2026-07-20,True,True,185,82,123
52992,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52992,이준혁,23,2003-06-30,P,R/R,184cm/87kg,용인포곡초(처인구리틀)-성일중-율곡고-NC,22 NC 2차 1라운드 10순위,2026,NC,3.0,19,0,0,0,0,0,1,,90,18,18,0,13,4,14,10,6,2026-07-20,True,True,184,87,54
53029,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53029,김정운,22,2004-04-21,P,R/R,184cm/84kg,동천초-경주중-대구고-KT-상무,23 KT 1라운드 10순위,2026,KT,6.0,5,0,0,0,0,0,0,,31,6,8,2,5,1,4,4,4,2026-07-20,True,True,184,84,18
53164,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53164,김동규,22,2004-07-09,P,R/R,194cm/100kg,서울청구초-영남중-성남고-LG,23 LG 2라운드 17순위,2026,키움,21.0,5,0,0,0,0,0,0,,21,3,5,0,6,1,4,7,7,2026-07-20,True,True,194,100,9
53259,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53259,최준호,22,2004-06-03,P,R/R,188cm/90kg,온양온천초-온양중-북일고,23 두산 1라운드 9순위,2026,두산,4.3,16,0,0,4,1,0,0,0.8,104,23,20,4,12,1,25,15,11,2026-07-20,True,True,188,90,69
53301,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53301,박윤성,22,2004-02-08,P,R/R,183cm/96kg,부산수영초-개성중-경남고,23 키움 3라운드 26순위,2026,키움,7.71,4,0,0,0,1,0,1,0.0,10,2 1/3,2,0,2,0,1,2,2,2026-07-20,True,True,183,96,7
