player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,strikeouts,grounded_into_double_play,sacrifice_flies,sacrifice_hits,errors,batting_average,slugging_percentage,on_base_percentage,on_base_plus_slugging,as_of_date,is_partial,age_was_corrected,height_cm,weight_kg
55397,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55397,전태현,20,2006-03-02,2B,L/R,180cm/82kg,양덕초-마산동중-용마고,25 키움 5라운드 41순위,2026,키움,6,16,16,1,3,1,0,0,4,0,0,0,0,0,5,0,0,0,1,0.188,0.25,0.188,0.438,2026-07-20,True,True,180,82
55425,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55425,김상준,24,2002-12-30,IF,L/R,176cm/75kg,양덕초-마산동중-물금고-동원과학기술대,25 삼성 육성선수,2026,삼성,43,59,51,13,9,1,0,0,10,1,1,1,4,3,14,0,0,1,1,0.176,0.196,0.276,0.472,2026-07-20,True,False,176,75
55435,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55435,차승준,20,2006-11-20,3B,L/R,181cm/88kg,무학초-창원신월중-용마고,25 삼성 3라운드 23순위,2026,삼성,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,2026-07-20,True,True,181,88
55438,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55438,심재훈,20,2006-03-03,2B,R/R,180cm/80kg,삼일초-평촌중-유신고,25 삼성 2라운드 13순위,2026,삼성,21,35,31,3,9,1,0,0,10,1,0,1,4,0,8,0,0,0,0,0.29,0.323,0.371,0.694,2026-07-20,True,True,180,80
55440,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55440,함수호,20,2006-03-10,OF,L/L,181cm/88kg,구미인동초(구미시리틀)-협성경복중-대구상원고,25 삼성 4라운드 33순위,2026,삼성,11,18,16,0,1,0,0,0,1,2,0,0,2,0,5,0,0,0,0,0.063,0.063,0.167,0.23,2026-07-20,True,True,181,88
55502,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55502,김동현,22,2004-12-30,OF,L/R,185cm/100kg,인천병방초(인천서구리틀)-재능중-제물포고-부산과학기술대,25 롯데 6라운드 54순위,2026,롯데,17,42,37,6,8,1,1,2,17,6,0,0,4,1,9,1,0,0,2,0.216,0.459,0.31,0.769,2026-07-20,True,False,185,100
55509,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55509,박건우,23,2003-02-01,C,R/R,183cm/92kg,성동초-건대부중-장충고-고려대,25 롯데 육성선수,2026,롯데,14,14,14,1,5,1,0,0,6,1,0,0,0,0,5,1,0,0,0,0.357,0.429,0.357,0.786,2026-07-20,True,True,183,92
55530,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55530,박찬형,24,2002-10-17,3B,L/R,175cm/78kg,중대초-언북중-배재고,25 롯데 육성선수,2026,롯데,10,30,27,6,9,0,0,1,12,2,0,0,2,1,10,0,0,0,0,0.333,0.444,0.4,0.844,2026-07-20,True,True,175,78
55534,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55534,조민영,21,2005-03-24,OF,R/R,186cm/92kg,서울중대초-건대부중-신일고,25 롯데 육성선수,2026,롯데,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,2026-07-20,True,False,186,92
55563,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55563,박재엽,20,2006-01-23,C,R/R,184cm/92kg,부산대연초-개성중-부산고,25 롯데 4라운드 34순위,2026,롯데,4,3,3,1,2,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,1.667,2026-07-20,True,True,184,92
