player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,earned_run_average,games,complete_games,shutouts,wins,losses,saves,holds,winning_percentage,batters_faced,innings_pitched_display,hits_allowed,home_runs_allowed,walks_allowed,hit_batters,strikeouts,runs_allowed,earned_runs,age_was_corrected,height_cm,weight_kg,innings_pitched_outs
64658,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64658,홀튼,35,1979-08-12,P,R/R,193cm/107kg,미국 퍼시픽대-KIA,14 KIA 자유선발,2014,KIA,4.8,17,0,0,5,8,0,0,0.385,417,93 2/3,96,10,48,3,58,54,50,False,193,107,281
64659,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64659,토마스,30,1984-01-18,P,L/L,190cm/99kg,미국 영스타운주립대-KIA,14 KIA 자유선발,2014,KIA,4.44,10,0,0,2,2,0,0,0.5,210,46 2/3,55,3,19,1,51,26,23,False,190,99,140
64718,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64718,최설우,22,1992-02-20,P,R/R,179cm/93kg,감천초-대동중-개성고-동아대-(영남사이버대)-한화-롯데,14 한화 2차 1라운드 2순위,2014,한화,7.1,50,0,0,1,2,1,2,0.333,304,64 2/3,76,9,43,6,42,54,51,False,179,93,194
64737,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64737,앨버스,29,1985-10-06,P,L/L,185cm/88kg,캐나다 켄터키대-한화,14 한화 자유선발,2014,한화,5.89,28,1,1,6,13,0,0,0.316,673,151 1/3,200,18,40,4,107,108,99,False,185,88,454
64760,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64760,황영국,19,1995-12-26,P,L/L,185cm/83kg,청주우암초-청주중-청주고-한화-경찰-한화,14 한화 1차,2014,한화,9.0,1,0,0,0,0,0,0,,5,1,2,0,1,0,0,1,1,False,185,83,3
64761,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64761,클레이,26,1988-02-15,P,R/R,188cm/82kg,미국 쿨만고-한화,14 한화 자유선발,2014,한화,8.33,10,0,0,3,4,0,0,0.429,204,40,62,8,25,3,20,40,37,False,188,82,120
64762,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64762,타투스코,29,1985-03-27,P,R/R,196cm/92kg,미국 인디애나주립대-한화,14 한화 자유선발,2014,한화,7.07,14,1,0,2,6,0,0,0.25,299,63 2/3,64,7,45,6,49,51,50,False,196,92,191
64768,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64768,조이현,19,1995-06-27,P,L/R,185cm/95kg,송정동초-배재중-제주고-한화-SK-상무-SK-SSG,14 한화 2차 5라운드 47순위,2014,한화,10.64,6,0,0,0,1,0,0,0.0,58,11,22,4,4,0,8,13,13,False,185,95,33
64824,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64824,울프,32,1982-10-18,P,R/R,182cm/82kg,미국 와바쉬 밸리대-SK,14 SK 자유선발,2014,SK,4.85,23,0,0,2,2,4,0,0.5,364,85 1/3,88,10,27,6,41,48,46,False,182,82,256
64893,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64893,박민호,22,1992-02-25,P,R/R,185cm/95kg,동막초-동인천중-인천고-인하대-SK-상무-SK-SSG,14 SK 2차 3라운드 33순위,2014,SK,5.46,17,0,0,2,3,0,0,0.4,152,31 1/3,41,3,10,9,12,25,19,False,185,95,94
